time(s),F(N)
2.9000000000000004,48.780676
2.9125,48.780676
2.9250000000000003,48.780676
2.9375,49.278124000000005
2.95,49.278124000000005
2.9625000000000004,49.278124000000005
2.975,49.278124000000005
2.9875000000000003,49.278124000000005
3.0,49.955304
3.0125,49.955304
3.0250000000000004,49.955304
3.0375,49.955304
3.0500000000000003,49.955304
3.0625,50.741656
3.075,50.741656
3.0875000000000004,50.741656
3.1,50.741656
3.1125000000000003,50.741656
3.125,51.778496
3.1375,51.778496
3.1500000000000004,51.778496
3.1625,51.778496
3.1750000000000003,51.778496
3.1875,52.066812000000006
3.2,52.066812000000006
3.2125000000000004,52.066812000000006
3.225,52.066812000000006
3.2375000000000003,52.066812000000006
3.25,52.714004
3.2625,52.714004
3.2750000000000004,52.714004
3.2875,52.714004
3.3000000000000003,52.714004
3.3125,53.746336
3.325,53.746336
3.3375000000000004,53.746336
3.35,53.746336
3.3625000000000003,53.746336
3.375,54.127556000000006
3.3875,54.127556000000006
3.4000000000000004,54.127556000000006
3.4125,54.127556000000006
3.4250000000000003,54.127556000000006
3.4375,54.884312
3.45,54.884312
3.4625000000000004,54.884312
3.475,54.884312
3.4875000000000003,54.884312
3.5,55.257496
3.5125,55.257496
3.5250000000000004,55.257496
3.5375,55.257496
3.5500000000000003,55.257496
3.5625,56.36646399999999
3.575,56.36646399999999
3.5875000000000004,56.36646399999999
3.6,56.36646399999999
3.6125000000000003,56.36646399999999
3.625,57.167124
3.6375,57.167124
3.6500000000000004,57.167124
3.6625,57.167124
3.6750000000000003,57.167124
3.6875,57.812944
3.7,57.812944
3.7125000000000004,57.812944
3.725,57.812944
3.7375000000000003,57.812944
3.75,58.911524
3.7625,58.911524
3.7750000000000004,58.911524
3.7875,58.911524
3.8000000000000003,58.911524
3.8125,59.889368000000005
3.825,59.889368000000005
3.8375000000000004,59.889368000000005
3.85,59.889368000000005
3.8625000000000003,59.889368000000005
3.875,61.381124
3.8875,61.381124
3.9000000000000004,61.381124
3.9125,61.381124
3.9250000000000003,61.381124
3.9375,62.717452
3.95,62.717452
3.9625000000000004,62.717452
3.975,62.717452
3.9875000000000003,62.717452
4.0,63.127092000000005
4.0125,63.127092000000005
4.025,63.127092000000005
4.0375000000000005,63.127092000000005
4.05,63.127092000000005
4.0625,63.69980399999999
4.075,63.69980399999999
4.0875,63.69980399999999
4.1000000000000005,63.69980399999999
4.1125,63.69980399999999
4.125,64.676276
4.1375,64.676276
4.15,64.676276
4.1625000000000005,64.676276
4.175,64.676276
4.1875,65.692144
4.2,65.692144
4.2125,65.692144
4.2250000000000005,65.692144
4.2375,65.692144
4.25,66.61706799999999
4.2625,66.61706799999999
4.275,66.61706799999999
4.2875000000000005,66.61706799999999
4.3,66.61706799999999
4.3125,67.54963599999999
4.325,67.54963599999999
4.3375,67.54963599999999
4.3500000000000005,67.54963599999999
4.3625,67.54963599999999
4.375,68.152924
4.3875,68.152924
4.4,68.152924
4.4125000000000005,68.152924
4.425,68.152924
4.4375,68.801684
4.45,68.801684
4.4625,68.801684
4.4750000000000005,68.801684
4.4875,68.801684
4.5,69.854008
4.5125,69.854008
4.525,69.854008
4.5375000000000005,69.854008
4.55,69.854008
4.5625,70.59665199999999
4.575,70.59665199999999
4.5875,70.59665199999999
4.6000000000000005,70.59665199999999
4.6125,70.59665199999999
4.625,71.249136
4.6375,71.249136
4.65,71.249136
4.6625000000000005,71.249136
4.675,71.249136
4.6875,72.314788
4.7,72.314788
4.7125,72.314788
4.7250000000000005,72.314788
4.7375,72.314788
4.75,72.989616
4.7625,72.989616
4.775,72.989616
4.7875000000000005,72.989616
4.800000000000001,72.989616
4.8125,73.294984
4.825,73.294984
4.8375,73.294984
4.8500000000000005,73.294984
4.862500000000001,73.294984
4.875,74.23206
4.8875,74.23206
4.9,74.23206
4.9125000000000005,74.23206
4.925000000000001,74.23206
4.9375,75.328288
4.95,75.328288
4.9625,75.328288
4.9750000000000005,75.328288
4.987500000000001,75.328288
5.0,75.636596
5.0125,75.636596
5.025,75.636596
5.0375000000000005,75.636596
5.050000000000001,75.636596
5.0625,76.7389
5.075,76.7389
5.0875,76.7389
5.1000000000000005,76.7389
5.112500000000001,76.7389
5.125,78.35002
5.1375,78.35002
5.15,78.35002
5.1625000000000005,78.35002
5.175000000000001,78.35002
5.1875,78.202432
5.2,78.202432
5.2125,78.202432
5.2250000000000005,78.202432
5.237500000000001,78.202432
5.25,78.40294
5.2625,78.40294
5.275,78.40294
5.2875000000000005,78.40294
5.300000000000001,78.40294
5.3125,78.919792
5.325,78.919792
5.3375,78.919792
5.3500000000000005,78.919792
5.362500000000001,78.919792
5.375,78.83414
5.3875,78.83414
5.4,78.83414
5.4125000000000005,78.83414
5.425000000000001,78.83414
5.4375,78.700076
5.45,78.700076
5.4625,78.700076
5.4750000000000005,78.700076
5.487500000000001,78.700076
5.5,79.58188
5.5125,79.58188
5.525,79.58188
5.5375000000000005,79.58188
5.550000000000001,79.58188
5.5625,79.832956
5.575,79.832956
5.5875,79.832956
5.6000000000000005,79.832956
5.612500000000001,79.832956
5.625,79.67047199999999
5.6375,79.67047199999999
5.65,79.67047199999999
5.6625000000000005,79.67047199999999
5.675000000000001,79.67047199999999
5.6875,79.984072
5.7,79.984072
5.7125,79.984072
5.7250000000000005,79.984072
5.737500000000001,79.984072
5.75,81.477396
5.7625,81.477396
5.775,81.477396
5.7875000000000005,81.477396
5.800000000000001,81.477396
5.8125,82.952884
5.825,82.952884
5.8375,82.952884
5.8500000000000005,82.952884
5.862500000000001,82.952884
5.875,82.735324
5.8875,82.735324
5.9,82.735324
5.9125000000000005,82.735324
5.925000000000001,82.735324
5.9375,82.693576
5.95,82.693576
5.9625,82.693576
5.9750000000000005,82.693576
5.987500000000001,82.693576
6.0,84.57204
6.0125,84.57204
6.025,84.57204
6.0375000000000005,84.57204
6.050000000000001,84.57204
6.0625,85.30782400000001
6.075,85.30782400000001
6.0875,85.30782400000001
6.1000000000000005,85.30782400000001
6.112500000000001,85.30782400000001
6.125,85.28254
6.1375,85.28254
6.15,85.28254
6.1625000000000005,85.28254
6.175000000000001,85.28254
6.1875,85.815856
6.2,85.815856
6.2125,85.815856
6.2250000000000005,85.815856
6.237500000000001,85.815856
6.25,86.37818
6.2625,86.37818
6.275,86.37818
6.2875000000000005,86.37818
6.300000000000001,86.37818
6.3125,85.803116
6.325,85.803116
6.3375,85.803116
6.3500000000000005,85.803116
6.362500000000001,85.803116
6.375,85.8039
6.3875,85.8039
6.4,85.8039
6.4125000000000005,85.8039
6.425000000000001,85.8039
6.4375,86.778216
6.45,86.778216
6.4625,86.778216
6.4750000000000005,86.778216
6.487500000000001,86.778216
6.5,87.19158
6.5125,87.19158
6.525,87.19158
6.5375000000000005,87.19158
6.550000000000001,87.19158
6.5625,87.28762
6.575,87.28762
6.5875,87.28762
6.6000000000000005,87.28762
6.612500000000001,87.28762
6.625,87.71882000000001
6.6375,87.71882000000001
6.65,87.71882000000001
6.6625000000000005,87.71882000000001
6.675000000000001,87.71882000000001
6.6875,87.966172
6.7,87.966172
6.7125,87.966172
6.7250000000000005,87.966172
6.737500000000001,87.966172
6.75,89.664316
6.7625,89.664316
6.775,89.664316
6.7875000000000005,89.664316
6.800000000000001,89.664316
6.8125,89.711944
6.825,89.711944
6.8375,89.711944
6.8500000000000005,89.711944
6.862500000000001,89.711944
6.875,89.807984
6.8875,89.807984
6.9,89.807984
6.9125000000000005,89.807984
6.925000000000001,89.807984
6.9375,90.811308
6.95,90.811308
6.9625,90.811308
6.9750000000000005,90.811308
6.987500000000001,90.811308
7.0,90.164704
7.0125,90.164704
7.025,90.164704
7.0375000000000005,90.164704
7.050000000000001,90.164704
7.0625,89.6798
7.075,89.6798
7.0875,89.6798
7.1000000000000005,89.6798
7.112500000000001,89.6798
7.125,89.37894
7.1375,89.37894
7.15,89.37894
7.1625000000000005,89.37894
7.175000000000001,89.37894
7.1875,88.802504
7.2,88.802504
7.2125,88.802504
7.2250000000000005,88.802504
7.237500000000001,88.802504
7.25,87.925796
7.2625,87.925796
7.275,87.925796
7.2875000000000005,87.925796
7.300000000000001,87.925796
7.3125,87.043992
7.325,87.043992
7.3375,87.043992
7.3500000000000005,87.043992
7.362500000000001,87.043992
7.375,86.32153600000001
7.3875,86.32153600000001
7.4,86.32153600000001
7.4125000000000005,86.32153600000001
7.425000000000001,86.32153600000001
7.4375,85.14926
7.45,85.14926
7.4625,85.14926
7.4750000000000005,85.14926
7.487500000000001,85.14926
7.5,84.29568
7.5125,84.29568
7.525,84.29568
7.5375000000000005,84.29568
7.550000000000001,84.29568
7.5625,83.85624800000001
7.575,83.85624800000001
7.5875,83.85624800000001
7.6000000000000005,83.85624800000001
7.612500000000001,83.85624800000001
7.625,82.567744
7.6375,82.567744
7.65,82.567744
7.6625000000000005,82.567744
7.675000000000001,82.567744
7.6875,81.683784
7.7,81.683784
7.7125,81.683784
7.7250000000000005,81.683784
7.737500000000001,81.683784
7.75,81.193588
7.7625,81.193588
7.775,81.193588
7.7875000000000005,81.193588
7.800000000000001,81.193588
7.8125,81.052076
7.825,81.052076
7.8375,81.052076
7.8500000000000005,81.052076
7.862500000000001,81.052076
7.875,79.00172
7.8875,79.00172
7.9,79.00172
7.9125000000000005,79.00172
7.925000000000001,79.00172
7.9375,74.912768
7.95,74.912768
7.9625,74.912768
7.9750000000000005,74.912768
7.987500000000001,74.912768
8.0,74.03390399999999
8.012500000000001,74.03390399999999
8.025,74.03390399999999
8.0375,74.03390399999999
8.05,74.03390399999999
8.0625,73.879652
8.075000000000001,73.879652
8.0875,73.879652
8.1,73.879652
8.1125,73.879652
8.125,73.28244
8.137500000000001,73.28244
8.15,73.28244
